-96.34055399,30.62060343,-43
-96.34023986,30.62064951,-52.22582345323571
-96.34026077999999,30.62066453,-51.48477158019905
-96.34026332000001,30.62068328,-51.19203632757267
-96.34025085,30.6206808,-51.62807760787661
-96.34023756000001,30.62066998,-52.14142163464475
-96.34022625,30.62065767,-52.55652257150261
-96.34022242,30.62065409,-52.6834580442671
-96.34021107,30.62064168,-53.0451625776746
-96.34020189,30.62062981,-53.31748697557947
-96.34019564000001,30.62062806,-53.47586436851029
-96.34018868,30.62061708,-53.66363397973305
-96.34018651,30.62060851,-53.72252333165631
-96.34017039,30.62059228,-54.0912903336595
-96.34016918,30.62057571,-54.09150383432398
-96.34016215,30.62056062,-54.20630609803122
-96.34014508999999,30.62054988,-54.54338736004328
-96.34014117,30.62054792,-54.62033129631597
-96.34012324,30.6205375,-54.95539409812469
-96.34010212,30.62051163,-55.2549504337138
-96.3400879,30.62047048,-55.25115081254018
-96.3400504,30.62041973,-55.54397969627073
-96.34004667000001,30.62039892,-55.37634203100902
-96.34006164,30.62037675,-54.69666308355455
-96.34007626,30.62035369,-53.85149030031131
-96.34007253,30.62033914,-53.62357899693402
-96.34007647999999,30.62032701,-53.1673822868822
-96.34006755999999,30.62031857,-53.23365903170377
-96.34006764,30.6203176,-53.20226832487232
-96.34006751,30.6203173,-53.19796007252887
-96.3400681,30.62031968,-53.24720862756593
-96.34007783,30.62033189,-53.25903181045179
-96.34009177,30.62033351,-52.81376368220121
-96.34012838,30.62034497,-51.74743507161646
-96.34014643,30.62034841,-51.06184942785114
-96.34015414,30.62035236,-50.85721764750123
-96.34015445,30.62035279,-50.86098012744074
-96.34015441,30.62035296,-50.87052363525316
-96.34015463999999,30.62035297,-50.85955763062049
-96.34015479,30.62035304,-50.85522325931032
-96.34014764,30.62036693,-51.72256419718566
-96.34016936,30.6203614,-50.49615975897559
-96.34019743,30.62033232,-45.86432581915884
-96.34021969,30.62030254,-44.87493904773662
-96.34024911,30.62027956,-49.97110570875697
-96.34026849999999,30.62026763,-51.42808827409905
-96.34030416,30.62026064,-52.64981158853188
-96.34033928,30.62025564,-53.44676489694822
-96.34037053,30.62024488,-54.17977978083582
-96.34039041,30.62024118,-54.47920807490002
-96.34041947999999,30.62024134,-54.70296685196833
-96.34047053000001,30.6202324,-55.19931191619536
-96.3405199,30.62023132,-55.35554092832447
-96.34056236000001,30.62023325,-55.33440148283239
-96.34056622,30.62024158,-55.13479485174306
-96.34059324,30.62027136,-54.34961952520756
-96.34061477,30.62029335,-53.67879722046315
-96.3406437,30.62031339,-52.91589037042107
-96.34067494999999,30.62033732,-51.79060177115841
-96.34070485,30.6203546,-50.59414783015306
-96.34073075000001,30.62037492,-48.78919200378932
-96.34075158,30.62040031,-45.40783765470696
-96.34076586000001,30.62041829,-47.47153007681384
-96.34078286,30.62043743,-43.56176297590415
-96.34079542000001,30.62045557,-46.74065437423618
-96.34081226000001,30.62047436,-48.74336099295046
-96.34082775,30.62049244,-50.00352519652753
-96.34084252,30.62051411,-50.9830155709276
-96.34085184,30.62053662,-51.57472706034645
-96.34086399,30.62055284,-52.07756998693704
-96.34087973,30.62057245,-52.61981520718791
-96.34089914000001,30.62059096,-53.17100915576235
-96.34091533,30.62061061,-53.57491484247199
-96.34093704999999,30.62063466,-54.04305639120855
-96.34093975,30.62066646,-53.97678577818493
-96.34091893,30.62070868,-53.11464387917381
-96.34090461,30.6207189,-52.58528209030729
-96.34086331,30.62073184,-51.00061217671171
-96.34081144,30.62072528,-48.95882976241483
-96.34077225999999,30.62070094,-47.74202459069363
-96.34072853000001,30.6206824,-45.75517953605263
-96.34068904,30.62066375,-43.57250946506454
-96.34066727,30.62063499,-43.00814022831651
-96.34064495,30.62060751,-44.41646010595127
-96.34062556000001,30.62058618,-46.86267263950985
-96.34059693,30.62058384,-52.4562482105885
-96.34057481000001,30.62059531,-58.27535274837789
-96.34054433,30.6206209,-58.23247592367672
-96.34052138,30.62063669,-56.44814167167962
-96.34049841,30.62065547,-54.66448114685188
-96.3404831,30.62067199,-51.30546248116922
-96.34046194,30.62068141,-60.30894142440397
-96.34046198999999,30.62067381,-52.15412796389484
-96.34045098999999,30.62068462,-52.81194165805196
-96.34042696,30.62071675,-50.14692923037833
-96.34041893,30.6207465,-43.16890106110738
-96.34038344,30.62076534,-44.36163532164918
-96.34033433000001,30.62076982,-44.18037908445388
-96.34028252,30.62073925,-49.17269327096532
-96.34026675,30.62072142,-50.38685215916642
